vehicle,stop_order,shipment_id,city,latitude,longitude,weight,priority,sla_hours,travel_time_hr,fuel_cost,toll_cost,driver_cost,sla_penalty,total_cost,carbon_kg,sla_breach_hr,mo_score,route_distance_km
1,1,SHIP_006,Pune,18.485999,73.898887,488.17,MEDIUM,48,2.72,1511.29,1473.09,490.48,0.0,3474.87,22.795,0.0,0.0964,3721.85
1,2,SHIP_019,Nashik,19.990695,73.747255,86.65,MEDIUM,48,3.15,2016.84,3209.91,566.55,0.0,5793.3,45.547,0.0,0.1486,3721.85
1,3,SHIP_012,Indore,22.766591,75.834835,48.44,LOW,72,10.35,4521.69,1235.3,1862.11,0.0,7619.1,104.376,0.0,0.2932,3721.85
1,4,SHIP_013,Bhopal,23.293144,77.445474,22.42,HIGH,24,4.8,2098.92,3310.18,864.37,0.0,6273.48,47.401,0.0,0.1761,3721.85
1,5,SHIP_018,Agra,27.179176,78.03832,94.91,LOW,72,9.12,5234.39,1303.74,1641.7,0.0,8179.83,124.317,0.0,0.2985,3721.85
1,6,SHIP_001,Delhi,28.601354,77.255958,35.32,MEDIUM,48,5.53,2110.07,884.86,995.57,0.0,3990.5,47.477,0.0,0.1508,3721.85
1,7,SHIP_033,Vijayawada,16.462705,80.63109,17.05,MEDIUM,48,44.08,16719.75,1123.64,7934.28,15875.19,41652.86,363.655,31.75,1.7367,3721.85
2,1,SHIP_009,Surat,21.180312,72.785623,399.64,MEDIUM,48,5.07,2810.23,1417.76,912.05,0.0,5140.04,42.388,0.0,0.1596,2183.62
2,2,SHIP_016,Vadodara,22.27554,73.18547,351.03,LOW,72,3.9,1543.16,3152.94,702.84,0.0,5398.94,27.391,0.0,0.1413,2183.62
2,3,SHIP_036,Raipur,21.28224,81.612118,29.96,HIGH,24,24.4,10523.74,1672.65,4391.27,4683.77,21271.44,246.431,9.37,0.8578,2183.62
3,1,SHIP_025,Aurangabad,19.871807,75.363986,477.88,MEDIUM,48,7.61,3303.04,1415.42,1369.26,0.0,6087.73,59.73,0.0,0.2132,5498.18
3,2,SHIP_041,Solapur,17.622104,75.868359,250.89,HIGH,24,4.98,3068.76,3398.61,895.52,0.0,7362.89,79.788,0.0,0.2127,5498.18
3,3,SHIP_035,Madurai,9.971763,78.100898,32.54,MEDIUM,48,19.45,10609.48,3345.86,3501.13,0.0,17456.47,183.014,0.0,0.5903,5498.18
3,4,SHIP_048,Jammu,32.728607,74.849754,32.2,MEDIUM,48,79.82,30627.83,2157.23,14367.24,31925.4,79077.7,803.98,63.85,3.3609,5498.18
4,1,SHIP_022,Rajkot,22.267849,70.772072,360.15,LOW,72,7.66,5004.67,3219.45,1378.56,0.0,9602.68,108.435,0.0,0.2936,4256.22
4,2,SHIP_007,Ahmedabad,22.978308,72.530249,262.99,LOW,72,5.52,2363.87,1908.03,992.83,0.0,5264.73,38.216,0.0,0.1643,4256.22
4,3,SHIP_034,Jodhpur,26.283789,72.980656,66.88,HIGH,24,11.45,4444.32,1711.56,2060.55,310.93,8527.36,92.22,0.62,0.3204,4256.22
4,4,SHIP_040,Thiruvananthapuram,8.518115,76.933821,57.94,MEDIUM,48,43.68,24228.47,3423.81,7863.24,10153.27,45668.79,413.903,20.31,1.6772,4256.22
5,1,SHIP_042,Hubli,15.364218,75.145324,242.0,HIGH,24,14.94,5734.03,1479.81,2689.78,0.0,9903.62,150.04,0.0,0.4067,1900.27
5,2,SHIP_049,Mangalore,12.918771,74.808542,193.56,MEDIUM,48,8.53,3292.02,938.99,1535.28,0.0,5766.29,86.415,0.0,0.2343,1900.27
5,3,SHIP_002,Bengaluru,13.016671,77.622113,270.36,MEDIUM,48,6.6,3660.82,2518.31,1188.1,0.0,7367.24,58.573,0.0,0.2197,1900.27
