id,city,latitude,longitude,weight,priority,sla_hours,toll_cost_inr,traffic_mult,emission_factor
SHIP_001,Delhi,28.601354,77.255958,35.32,MEDIUM,48,884.86,1.73,0.27
SHIP_002,Bengaluru,13.016671,77.622113,270.36,MEDIUM,48,2518.31,1.19,0.192
SHIP_003,Chennai,13.105899,80.31465,274.91,LOW,72,1648.76,1.12,0.203
SHIP_004,Hyderabad,17.394866,78.526183,322.34,MEDIUM,48,2173.14,1.39,0.306
SHIP_005,Kolkata,22.538202,88.37369,365.78,HIGH,24,3250.43,1.79,0.265
SHIP_006,Pune,18.485999,73.898887,488.17,MEDIUM,48,1473.09,1.19,0.181
SHIP_007,Ahmedabad,22.978308,72.530249,262.99,LOW,72,1908.03,1.54,0.194
SHIP_008,Jaipur,26.949018,75.756898,168.25,MEDIUM,48,2839.99,1.61,0.273
SHIP_009,Surat,21.180312,72.785623,399.64,MEDIUM,48,1417.76,1.19,0.181
SHIP_010,Lucknow,26.867507,80.928733,142.71,HIGH,24,1007.85,1.58,0.203
SHIP_011,Nagpur,21.097858,79.077068,225.1,MEDIUM,48,1582.33,1.29,0.257
SHIP_012,Indore,22.766591,75.834835,48.44,LOW,72,1235.3,1.51,0.277
SHIP_013,Bhopal,23.293144,77.445474,22.42,HIGH,24,3310.18,1.51,0.271
SHIP_014,Visakhapatnam,17.658034,83.204175,481.7,MEDIUM,48,2981.93,1.43,0.211
SHIP_015,Patna,25.562282,85.115693,419.63,LOW,72,2510.19,1.07,0.28
SHIP_016,Vadodara,22.27554,73.18547,351.03,LOW,72,3152.94,1.67,0.213
SHIP_017,Ludhiana,30.881424,75.821392,210.39,MEDIUM,48,2969.91,1.26,0.226
SHIP_018,Agra,27.179176,78.03832,94.91,LOW,72,1303.74,1.15,0.285
SHIP_019,Nashik,19.990695,73.747255,86.65,MEDIUM,48,3209.91,1.03,0.271
SHIP_020,Faridabad,28.388023,77.366489,132.62,MEDIUM,48,2256.22,1.47,0.299
SHIP_021,Meerut,28.995685,77.733624,279.12,LOW,72,2980.09,1.54,0.272
SHIP_022,Rajkot,22.267849,70.772072,360.15,LOW,72,3219.45,1.01,0.26
SHIP_023,Varanasi,25.296814,82.924452,333.5,LOW,72,1658.61,1.41,0.193
SHIP_024,Srinagar,34.070336,74.828846,147.17,LOW,72,1097.14,1.18,0.231
SHIP_025,Aurangabad,19.871807,75.363986,477.88,MEDIUM,48,1415.42,1.52,0.217
SHIP_026,Dhanbad,23.824218,86.453301,371.57,MEDIUM,48,1953.19,1.14,0.214
SHIP_027,Amritsar,31.603967,74.899427,281.63,LOW,72,3008.64,1.55,0.316
SHIP_028,Allahabad,25.437223,81.803704,309.74,MEDIUM,48,3123.97,1.31,0.235
SHIP_029,Ranchi,23.353341,85.295447,215.6,LOW,72,818.77,1.75,0.305
SHIP_030,Coimbatore,10.971445,76.917387,131.39,LOW,72,2179.02,1.11,0.268
SHIP_031,Jabalpur,23.192254,80.02271,184.43,LOW,72,1927.01,1.27,0.291
SHIP_032,Gwalior,26.185352,78.19513,381.34,MEDIUM,48,1399.69,1.09,0.25
SHIP_033,Vijayawada,16.462705,80.63109,17.05,MEDIUM,48,1123.64,1.74,0.261
SHIP_034,Jodhpur,26.283789,72.980656,66.88,HIGH,24,1711.56,1.7,0.249
SHIP_035,Madurai,9.971763,78.100898,32.54,MEDIUM,48,3345.86,1.21,0.207
SHIP_036,Raipur,21.28224,81.612118,29.96,HIGH,24,1672.65,1.53,0.281
SHIP_037,Kota,25.194261,75.887761,429.18,MEDIUM,48,2200.73,1.65,0.219
SHIP_038,Chandigarh,30.693067,76.793156,354.79,MEDIUM,48,2698.15,1.44,0.183
SHIP_039,Guwahati,26.162923,91.774921,242.35,MEDIUM,48,1781.8,1.42,0.27
SHIP_040,Thiruvananthapuram,8.518115,76.933821,57.94,MEDIUM,48,3423.81,1.19,0.205
SHIP_041,Solapur,17.622104,75.868359,250.89,HIGH,24,3398.61,1.07,0.312
SHIP_042,Hubli,15.364218,75.145324,242.0,HIGH,24,1479.81,1.72,0.314
SHIP_043,Tiruchirappalli,10.743939,78.730779,94.87,LOW,72,2142.57,1.72,0.308
SHIP_044,Bareilly,28.407932,79.436528,222.59,MEDIUM,48,1612.37,1.51,0.232
SHIP_045,Mysuru,12.271678,76.666497,205.27,HIGH,24,1569.07,1.27,0.182
SHIP_046,Bhubaneswar,20.312352,85.82388,311.77,MEDIUM,48,899.59,1.28,0.31
SHIP_047,Dehradun,30.297671,78.034473,321.2,LOW,72,2445.82,1.58,0.24
SHIP_048,Jammu,32.728607,74.849754,32.2,MEDIUM,48,2157.23,1.72,0.315
SHIP_049,Mangalore,12.918771,74.808542,193.56,MEDIUM,48,938.99,1.71,0.315
SHIP_050,Udaipur,24.553885,73.673289,316.67,HIGH,24,1552.35,1.62,0.299
